Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	GSM_SS	
1354378017	616.93	1253.95	1357	1600	16000	1.359	4.369	15	14	
1354378066	925.71	1312.48	1357	1600	16000	1.875	3.866	15	14	
1354378115	975.09	634.62	1357	1600	16000	1.832	2.118	15	16	
1354378170	952.84	460.80	1357	1600	16000	1.754	2.093	15	17	
1354378222	837.20	1142.23	1357	1600	16000	1.627	3.759	15	14	
1354378270	826.76	1242.19	1357	1600	16000	1.654	4.136	15	14	
1354378321	919.08	1037.41	1357	1600	16000	1.686	3.355	15	14	
1354378371	962.60	1344.44	1357	1600	16000	1.821	4.411	15	17	
1354378419	852.51	1405.58	1357	1600	16000	1.647	3.444	15	15	
1354378468	893.02	1438.91	1357	1600	16000	1.804	4.902	15	14	
1354378517	985.92	970.62	1357	1600	16000	1.953	3.806	15	13	
1354378565	868.48	1339.00	1357	1600	16000	1.614	3.447	15	16	
1354378613	900.26	857.46	1357	1600	16000	1.757	2.978	15	16	
1354378680	872.36	517.41	1357	1600	16000	1.751	3.169	15	16	
1354378733	965.98	757.70	1357	1600	16000	1.895	2.688	15	15	
1354378784	942.90	1024.44	1357	1600	16000	1.764	3.501	15	15	
1354378831	875.50	1153.40	1357	1600	16000	1.548	3.499	15	14	
1354378879	861.98	1217.43	1357	1600	16000	1.697	4.091	15	15	
1354378938	687.42	704.84	1357	1600	16000	1.482	3.747	15	14	
1354378993	915.45	1118.42	1357	1600	16000	1.783	4.366	15	14	
1354379043	866.75	1065.33	1357	1600	16000	1.691	3.774	15	16	
1354379093	710.81	1391.00	1357	1600	16000	1.376	4.679	15	14	
1354379146	983.02	1172.16	1357	1600	16000	1.839	4.255	15	14	
1354379198	856.45	1349.40	1357	1600	16000	1.732	4.433	15	15	
1354379250	911.92	636.16	1357	1600	16000	1.892	2.767	15	14	
1354379302	802.54	1061.70	1357	1600	16000	1.616	3.704	15	14	
1354379348	959.76	1428.21	1357	1600	16000	1.764	4.295	15	14	
1354379396	907.28	1527.13	1357	1600	16000	1.744	4.890	15	16	
1354379444	965.84	1532.84	1357	1600	16000	1.891	4.039	15	17	
1354379501	926.07	1013.70	1357	1600	16000	1.752	4.302	15	15	
1354379555	914.50	597.25	1357	1600	16000	1.873	2.400	15	15	
1354379613	814.20	1101.22	1357	1600	16000	1.700	4.438	15	14	
1354379660	944.47	1006.45	1357	1600	16000	1.804	2.931	15	14	
1354379710	976.06	1185.63	1357	1600	16000	1.757	3.851	15	14	
1354379760	966.88	977.01	1357	1600	16000	1.782	3.890	15	15	
1354379809	888.50	1363.30	1357	1600	16000	1.796	4.300	15	15	
1354379856	955.02	1518.15	1357	1600	16000	1.835	4.788	15	14	
1354379905	915.31	1385.81	1357	1600	16000	1.826	4.758	15	16	
1354379955	911.73	1409.95	1357	1600	16000	1.801	4.567	15	14	
1354380004	838.50	1181.64	1357	1600	16000	1.618	3.729	15	14	
1354380055	967.86	1053.71	1357	1600	16000	1.829	3.794	15	16	
1354380104	869.50	945.68	1357	1600	16000	1.724	3.191	15	17	
1354380161	910.08	845.00	1357	1600	16000	1.768	3.811	15	17	
1354380213	894.32	1236.86	1357	1600	16000	1.827	4.374	15	16	
1354380265	937.82	907.00	1357	1600	16000	1.782	3.831	15	15	
1354380315	776.24	909.36	1357	1600	16000	1.517	3.766	15	14	
1354380367	671.95	1068.98	1357	1600	16000	1.380	3.766	15	14	
1354380415	865.25	862.35	1357	1600	16000	1.680	3.444	15	14	
1354380467	737.80	987.38	1357	1600	16000	1.477	3.504	15	14	
1354380531	751.46	546.71	1357	1600	16000	1.427	3.514	15	15	
1354380580	848.68	1248.80	1357	1600	16000	1.673	3.732	15	17	
1354380640	922.64	462.79	1357	1600	16000	1.684	2.589	15	14	
1354380698	923.14	805.76	1357	1600	16000	1.776	4.272	15	14	
1354380759	871.03	996.02	1357	1600	16000	1.764	4.414	15	15	
1354380815	1139.62	439.12	1357	1600	16000	2.103	2.041	15	13	
1354380861	981.48	1812.07	1357	1600	16000	1.963	5.219	15	14	
1354380908	848.54	1585.13	1357	1600	16000	1.699	4.709	15	14	
1354380957	968.70	1619.00	1357	1600	16000	1.804	4.939	15	15	
1354381003	973.15	1458.30	1357	1600	16000	1.869	4.017	15	14	
1354381050	948.17	1531.41	1357	1600	16000	1.852	4.701	15	14	
1354381098	977.14	1690.72	1357	1600	16000	1.909	5.143	15	14	
1354381145	977.04	1512.38	1357	1600	16000	1.882	4.394	15	14	
1354381192	888.40	1515.32	1357	1600	16000	1.540	5.153	15	14	
1354381254	818.15	660.72	1357	1600	16000	1.609	3.563	15	15	
1354381302	936.47	1453.00	1357	1600	16000	1.843	4.577	15	14	
1354381350	810.97	1118.95	1357	1600	16000	1.776	3.866	15	14	
1354381400	874.09	785.94	1357	1600	16000	1.738	2.980	15	13	
1354381447	985.44	1458.30	1357	1600	16000	1.933	4.679	15	15	
1354381493	906.96	1644.47	1357	1600	16000	1.759	5.016	15	14	
1354381542	996.70	1197.16	1357	1600	16000	1.935	4.153	15	14	
1354381593	837.94	736.18	1357	1600	16000	1.622	2.973	15	14	
1354381647	913.34	789.05	1357	1600	16000	1.750	3.238	15	14	
1354381715	937.17	410.24	1357	1600	16000	1.801	2.995	15	12	
1354381764	954.48	923.16	1357	1600	16000	1.848	3.228	15	17	
1354381818	844.58	1042.90	1357	1600	16000	1.737	3.952	15	14	
1354381868	916.42	970.37	1357	1600	16000	1.764	3.372	15	14	
1354381918	858.62	850.56	1357	1600	16000	1.646	3.531	15	14	
1354381968	840.81	1074.97	1357	1600	16000	1.545	3.461	15	16	
1354382019	927.56	674.40	1357	1600	16000	1.773	3.161	15	15	
1354382071	974.16	1122.39	1357	1600	16000	1.906	4.426	15	14	
1354382129	886.74	657.60	1357	1600	16000	1.688	3.263	15	14	
1354382178	923.50	1321.03	1357	1600	16000	1.800	4.389	15	14	
1354382226	969.29	1303.23	1357	1600	16000	1.774	3.843	15	14	
1354382279	1015.77	562.32	1357	1600	16000	1.977	2.276	15	14	
1354382327	901.21	1504.08	1357	1600	16000	1.765	4.721	15	17	
1354382376	1012.50	1569.33	1357	1600	16000	1.933	4.731	15	13	
1354382435	955.67	785.14	1357	1600	16000	1.900	3.479	15	13	
1354382488	909.44	1154.11	1357	1600	16000	1.790	4.391	15	13	
1354382540	1020.46	1069.14	1357	1600	16000	1.893	3.781	15	13	
1354382588	992.80	1306.86	1357	1600	16000	1.917	4.309	15	13	
1354382639	948.60	1156.28	1357	1600	16000	1.786	3.833	15	14	
1354382693	984.96	805.74	1357	1600	16000	1.861	3.521	15	14	
1354382739	862.09	543.24	1357	1600	16000	1.948	2.162	15	16	
1354382793	949.92	1112.92	1357	1600	16000	1.845	4.436	15	14	
1354382840	913.20	1532.04	1357	1600	16000	1.772	4.996	15	15	
1354382887	985.50	1164.18	1357	1600	16000	1.891	3.796	15	15	
1354382938	1005.59	1082.53	1357	1600	16000	1.869	3.952	15	13	
1354382990	784.64	901.59	1357	1600	16000	1.616	3.107	15	14	
1354383047	876.56	872.94	1357	1600	16000	1.788	3.558	15	16	
1354383101	1012.16	851.61	1357	1600	16000	1.942	2.913	15	13	
1354383149	732.36	1366.75	1357	1600	16000	1.638	4.436	15	14	
1354383199	998.75	1257.86	1357	1600	16000	1.909	4.275	15	17	
1354383247	938.17	1110.09	1357	1600	16000	1.983	3.893	15	13	
1354383311	998.75	416.00	1357	1600	16000	1.889	2.018	15	13	
1354383360	1009.61	1266.09	1357	1600	16000	1.931	4.012	15	14	
1354383407	1000.14	1577.13	1357	1600	16000	1.839	4.910	15	15	
1354383455	1025.17	1483.40	1357	1600	16000	1.949	4.900	15	14	
1354383504	979.17	1313.00	1357	1600	16000	1.935	4.552	15	14	
1354383553	556.42	1413.50	1357	1600	16000	1.153	4.914	15	14	
1354383603	999.06	741.00	1357	1600	16000	1.920	2.911	15	17	
1354383650	1011.01	1555.50	1357	1600	16000	1.931	5.001	15	17	
1354383698	979.55	1681.88	1357	1600	16000	1.814	5.237	15	16	
1354383744	929.60	858.60	1357	1600	16000	1.878	3.263	15	14	
1354383798	988.86	985.54	1357	1600	16000	1.897	4.066	15	17	
1354383847	1003.50	1059.14	1357	1600	16000	1.974	3.717	15	14	
1354383901	997.76	948.37	1357	1600	16000	2.060	3.823	15	13	
1354383947	984.96	1553.20	1357	1600	16000	1.924	4.438	15	16	
1354383994	994.77	1302.33	1357	1600	16000	1.889	3.799	15	15	
1354384040	1003.59	1413.22	1357	1600	16000	1.858	3.913	15	14	
1354384088	1029.26	1103.86	1357	1600	16000	1.957	3.791	15	14	
1354384143	904.90	698.94	1357	1600	16000	1.922	3.285	15	14	
