Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351886053617	2.1287	2.2105	0.3	500	50
1351886054194	1.7227	2.8275	0.3	500	50
1351886054749	2.0242	2.4209	0.3	500	50
1351886055243	2.0906	3.0915	0.3	500	50
1351886055831	1.8675	2.8240	0.3	500	50
1351886056467	1.7133	2.8263	0.3	500	50
1351886057072	1.8574	2.7485	0.3	500	50
1351886057614	1.7277	2.5389	0.3	500	50
1351886058251	1.3425	2.8271	0.3	500	50
1351886058831	1.8669	2.8236	0.3	500	50
1351886059324	2.1674	3.0837	0.3	500	50
1351886059870	2.0833	2.8230	0.3	500	50
1351886060362	1.8590	3.0896	0.3	500	50
1351886060906	1.9222	2.8257	0.3	500	50
1351886061484	1.9779	2.5364	0.3	500	50
1351886062008	1.9978	2.8249	0.3	500	50
1351886062578	1.9228	2.8198	0.3	500	50
1351886063087	1.5703	3.1910	0.3	500	50
1351886063560	2.1342	2.8291	0.3	500	50
1351886064092	1.8543	3.0869	0.3	500	50
1351886064621	1.8392	2.8265	0.3	500	50
1351886065106	2.1426	2.8505	0.3	500	50
1351886065627	1.9005	2.8259	0.3	500	50
1351886066131	1.9082	2.8293	0.3	500	50
1351886066650	2.0013	2.8346	0.3	500	50
1351886067142	2.0007	2.8235	0.3	500	50
1351886067648	2.2120	2.8233	0.3	500	50
1351886068219	1.9845	3.0890	0.3	500	50
1351886068729	1.8691	2.8286	0.3	500	50
1351886069401	1.9893	2.8263	0.3	500	50
1351886070055	1.9947	2.8302	0.3	500	50
1351886070658	1.6842	2.7500	0.3	500	50
1351886071304	2.0099	2.2068	0.3	500	50
1351886071895	2.0069	2.9940	0.3	500	50
1351886072437	1.9166	2.5346	0.3	500	50
1351886072984	2.0198	2.5398	0.3	500	50
1351886073543	1.9923	2.8286	0.3	500	50
1351886074139	1.7277	2.7458	0.3	500	50
1351886074737	1.8053	2.8277	0.3	500	50
1351886075336	1.9619	2.8257	0.3	500	50
1351886075910	2.0062	1.9460	0.3	500	50
1351886076453	1.9838	2.8223	0.3	500	50
1351886076957	1.7807	2.6280	0.5	500	50
1351886077688	1.8008	2.8499	0.5	500	50
1351886078243	1.4685	2.6244	0.5	500	50
1351886078810	1.7236	2.6197	0.5	500	50
1351886079426	1.4635	2.5653	0.5	500	50
1351886079998	1.6603	2.6288	0.5	500	50
1351886080602	1.6070	2.9397	0.5	500	50
1351886081151	1.7678	2.3772	0.5	500	50
1351886081750	1.4814	2.9346	0.5	500	50
1351886082269	1.8269	2.9384	0.5	500	50
1351886082810	1.8548	2.6253	0.5	500	50
1351886083426	1.6907	2.1669	0.5	500	50
1351886084031	1.5769	2.5914	0.5	500	50
1351886084632	1.6363	2.8640	0.5	500	50
1351886085194	1.8585	1.7672	0.5	500	50
1351886085814	1.8274	2.6254	0.5	500	50
1351886086353	1.9071	2.9391	0.5	500	50
1351886086886	1.8033	2.6280	0.5	500	50
1351886087411	1.7875	2.6226	0.5	500	50
1351886087946	1.7811	2.6252	0.5	500	50
1351886088444	1.9290	2.6307	0.5	500	50
1351886088990	1.6855	2.6249	0.5	500	50
1351886089485	1.6129	2.8497	0.5	500	50
1351886090051	1.6934	2.6293	0.5	500	50
1351886090870	1.6773	2.8065	0.5	500	50
1351886091393	1.6667	2.6230	0.5	500	50
1351886091915	1.8254	2.6288	0.5	500	50
1351886092432	1.6899	2.6266	0.5	500	50
1351886092970	1.6829	2.6272	0.5	500	50
1351886093490	1.6929	2.8538	0.5	500	50
1351886094028	1.7870	2.6211	0.5	500	50
1351886094582	1.7954	2.6285	0.5	500	50
1351886095112	1.5337	2.6236	0.5	500	50
1351886095630	1.8717	2.6239	0.5	500	50
1351886096139	1.7954	2.6240	0.5	500	50
1351886096677	1.7223	2.8460	0.5	500	50
1351886097210	1.8043	2.6298	0.5	500	50
1351886097729	1.6260	2.8539	0.5	500	50
