Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351880166923	1.8853	4.3091	200000	600	50
1351880167548	2.6804	3.4981	200000	600	50
1351880168196	1.8581	4.3080	200000	600	50
1351880168808	1.8412	3.4958	200000	600	50
1351880169345	2.7007	3.8943	200000	600	50
1351880169896	1.7982	4.3077	200000	600	50
1351880170512	1.8939	3.9581	200000	600	50
1351880171071	1.6875	3.7708	200000	600	50
1351880171647	2.5760	4.0900	200000	600	50
1351880172188	1.7863	3.9592	200000	600	50
1351880172805	1.6886	3.9496	200000	600	50
1351880173393	1.8007	3.7665	200000	600	50
1351880173958	2.7062	3.9604	200000	600	50
1351880174572	1.8325	3.4904	200000	600	50
1351880175169	1.9339	3.6032	200000	600	50
1351880175706	1.8069	3.8886	200000	600	50
1351880176256	2.8046	3.2976	200000	600	50
1351880176782	1.7584	4.0944	200000	600	50
1351880177358	2.7127	3.4925	200000	600	50
1351880177895	1.8082	3.7679	200000	600	50
1351880178546	1.6988	4.3112	200000	600	50
1351880179088	1.8971	3.4946	200000	600	50
1351880179692	1.8399	3.8928	200000	600	50
1351880180233	1.7106	4.3503	200000	600	50
1351880180841	1.8511	3.7727	200000	600	50
1351880181393	1.7832	4.0854	200000	600	50
1351880182015	1.5719	3.7665	200000	600	50
1351880182567	1.8971	4.0953	200000	600	50
1351880183221	1.8330	3.9553	200000	600	50
1351880183747	1.8880	4.3200	200000	600	50
1351880184312	1.8019	4.0995	200000	600	50
1351880184868	1.6803	3.4970	200000	600	50
1351880185448	1.9522	4.0851	200000	600	50
1351880185982	1.6879	3.6561	200000	600	50
1351880186587	1.5563	3.8899	200000	600	50
1351880187147	1.7018	4.0927	200000	600	50
1351880187749	1.9174	3.3414	200000	600	50
1351880188293	1.7856	4.0904	200000	600	50
1351880188881	1.9095	3.7706	200000	600	50
1351880189481	1.7986	3.4924	200000	600	50
1351880190095	1.9378	3.3497	200000	600	50
1351880190664	1.9488	3.8951	200000	600	50
1351880191299	1.8057	3.7722	200000	600	50
1351880191816	1.9459	3.7678	200000	600	50
1351880192449	1.2372	3.1297	200000	600	50
1351880193051	1.8077	3.5915	200000	600	50
1351880193698	1.7073	3.3450	200000	600	50
1351880194226	1.6650	4.0898	200000	600	50
1351880194800	1.8463	3.9635	200000	600	50
1351880195351	1.8173	3.3908	200000	600	50
1351880195977	1.5028	3.4958	200000	600	50
1351880196536	2.3920	3.3934	200000	600	50
1351880197184	1.7463	3.9506	200000	600	50
1351880197755	2.4386	3.4954	200000	600	50
1351880198423	1.6566	3.4922	200000	600	50
1351880198957	1.7887	3.5918	200000	600	50
1351880199524	1.7491	3.0907	200000	600	50
1351880200134	1.8373	3.7728	200000	600	50
1351880200695	1.7827	3.7680	200000	600	50
1351880201262	1.8799	3.4944	200000	600	50
1351880201934	1.6661	3.8897	200000	600	50
1351880202483	1.9653	3.4469	200000	600	50
1351880203114	1.7648	3.7704	200000	600	50
1351880203703	1.7644	3.7737	200000	600	50
1351880204338	1.6095	3.9589	200000	600	50
1351880204950	1.6098	3.7800	200000	600	50
1351880205560	1.6178	4.0863	200000	600	50
1351880206221	1.6785	3.7808	200000	600	50
1351880206853	1.6814	4.1015	200000	600	50
1351880207429	1.9039	3.3996	200000	600	50
1351880207992	1.8700	4.4840	200000	600	50
1351880208571	1.7529	3.9501	200000	600	50
1351880209189	1.7336	4.0896	200000	600	50
1351880209722	1.9002	3.8705	200000	600	50
1351880210311	1.8875	3.5623	200000	600	50
1351880210892	1.7868	3.7748	200000	600	50
1351880211512	1.8957	4.3129	200000	600	50
1351880212068	1.7510	3.9329	200000	600	50
1351880212658	1.8249	3.3566	200000	600	50
1351880213242	1.7514	4.0833	200000	600	50
1351880213853	1.7844	4.1317	200000	600	50
1351880214435	1.5164	3.3958	200000	600	50
1351880215123	1.6394	4.0864	200000	600	50
1351880215707	1.6792	3.9026	200000	600	50
1351880216292	1.7211	3.3964	200000	600	50
1351880216970	1.4711	3.7643	200000	600	50
1351880217622	1.3907	3.4946	200000	600	50
1351880218188	1.6418	3.6048	200000	600	50
1351880218815	1.7925	3.7680	200000	600	50
1351880219424	1.7640	3.0156	200000	600	50
1351880220107	1.5939	3.2154	200000	600	50
1351880220766	1.6807	3.7138	200000	600	50
1351880221401	2.5271	4.0942	200000	600	50
1351880222032	1.7040	4.0880	200000	600	50
1351880222607	2.3775	3.7727	200000	600	50
1351880223145	1.7929	3.8918	200000	600	50
1351880223756	1.7644	3.9044	200000	600	50
1351880224384	1.8237	3.7699	200000	600	50
1351880224998	2.8066	3.7711	200000	600	50
1351880225566	1.8228	3.8914	200000	600	50
1351880226204	1.5011	4.0927	200000	600	50
1351880226756	1.7106	3.4951	200000	600	50
1351880227363	2.6551	3.4942	200000	600	50
1351880227895	2.5938	4.3146	200000	600	50
1351880228470	2.5844	4.3144	200000	600	50
1351880229021	1.9240	3.7734	200000	600	50
1351880229617	1.9268	4.3139	200000	600	50
1351880230172	1.7025	3.9580	200000	600	50
1351880230768	1.9095	4.3138	200000	600	50
1351880231322	1.6155	3.8900	200000	600	50
1351880231957	1.8564	3.4918	200000	600	50
1351880232487	1.8723	3.7603	200000	600	50
1351880233179	1.8369	3.9613	200000	600	50
1351880233738	1.7787	3.8931	200000	600	50
1351880234385	1.6521	3.9522	200000	600	50
1351880234960	1.7832	3.7753	200000	600	50
1351880235591	1.7695	3.3484	200000	600	50
1351880236141	1.8220	3.9681	200000	600	50
1351880236774	1.5961	4.3134	200000	600	50
1351880237370	1.5005	3.7715	200000	600	50
