Time	Uplink_Cap(Mbps)	Down_Cap(Mbps)	Gap_Size(ms)	Pkt_Size(B)	Train_Len
1351881025420	1.1602	1.7996	200000	500	25
1351881025867	1.4329	1.8391	200000	500	25
1351881026341	1.2707	1.8075	200000	500	25
1351881026855	1.3209	1.6540	200000	500	25
1351881027318	1.1610	1.6540	200000	500	25
1351881027873	1.1769	1.6578	200000	500	25
1351881028489	1.0304	1.6573	200000	500	25
1351881029035	1.3000	1.6582	200000	500	25
1351881029466	1.3592	1.8117	200000	500	25
1351881029970	1.2893	1.6557	200000	500	25
1351881030469	1.2538	1.9832	200000	500	25
1351881030947	1.1970	1.9805	200000	500	25
1351881031372	1.3109	2.1104	200000	500	25
1351881031864	1.4398	1.6267	200000	500	25
1351881032400	1.3349	1.3077	200000	500	25
1351881033217	1.2152	1.8006	200000	500	25
1351881033737	1.1918	1.5798	200000	500	25
1351881034172	1.4558	1.8104	200000	500	25
1351881034674	1.4223	1.6594	200000	500	25
1351881035184	1.3026	2.2979	200000	500	25
1351881035625	1.4215	2.1124	200000	500	25
1351881036050	1.1267	1.8742	200000	500	25
1351881036584	1.2514	1.8044	200000	500	25
1351881037104	1.2591	1.8043	200000	500	25
1351881037624	1.1701	1.6511	200000	500	25
1351881038092	1.2777	1.7998	200000	500	25
1351881038624	1.3178	1.5919	200000	500	25
1351881039073	1.4682	1.8069	200000	500	25
1351881039559	1.4077	1.9069	200000	500	25
1351881039996	1.1122	1.9461	200000	500	25
1351881040452	1.2447	1.8709	200000	500	25
1351881040971	1.2567	1.6530	200000	500	25
1351881041478	1.3225	1.8981	200000	500	25
1351881041891	1.3333	2.1115	200000	500	25
1351881042333	1.2969	1.8065	200000	500	25
1351881042843	1.2913	1.7111	200000	500	25
1351881043691	0.7100	1.9790	200000	500	25
1351881044147	1.4199	1.8035	200000	500	25
1351881044600	1.1706	1.7131	200000	500	25
1351881045115	1.1179	1.9808	200000	500	25
1351881045611	1.4707	1.8064	200000	500	25
1351881046046	1.3448	1.6569	200000	500	25
1351881046498	1.1240	1.8020	200000	500	25
1351881046891	1.3338	2.1109	200000	500	25
1351881047381	1.1848	1.8357	200000	500	25
1351881047852	1.3317	1.7068	200000	500	25
1351881048363	1.2514	2.1097	200000	500	25
1351881048838	1.2330	1.9090	200000	500	25
1351881049278	1.2447	1.9798	200000	500	25
1351881049758	1.1752	1.8006	200000	500	25
1351881050289	1.0265	1.8067	200000	500	25
1351881050730	1.2175	1.9067	200000	500	25
1351881051144	1.3503	1.9828	200000	500	25
1351881051653	1.2923	1.9861	200000	500	25
1351881052118	1.4298	1.7106	200000	500	25
1351881052562	1.2669	1.8055	200000	500	25
1351881052982	1.0677	1.8029	200000	500	25
1351881053440	1.2552	1.8731	200000	500	25
1351881053894	1.3481	1.8051	200000	500	25
1351881054360	1.2184	1.8071	200000	500	25
1351881054854	1.0052	1.3627	200000	500	25
1351881055321	1.3632	1.6551	200000	500	25
1351881055877	1.1619	1.6551	200000	500	25
1351881056353	1.1940	1.6525	200000	500	25
1351881056836	1.0429	1.6544	200000	500	25
1351881057377	1.2959	1.6559	200000	500	25
1351881057906	1.4040	1.6540	200000	500	25
1351881058343	1.1802	1.6562	200000	500	25
1351881058794	1.0240	1.9821	200000	500	25
1351881059282	1.4623	1.7118	200000	500	25
1351881059804	1.2954	1.6549	200000	500	25
1351881060302	0.8008	1.6563	200000	500	25
1351881060791	0.9847	1.8034	200000	500	25
1351881061375	1.9290	3.4500	200000	500	50
1351881061983	1.8564	3.1721	200000	500	50
1351881062547	2.1553	3.1760	200000	500	50
1351881063108	2.0847	3.1713	200000	500	50
1351881063682	2.2477	3.2764	200000	500	50
1351881064236	2.0742	3.1674	200000	500	50
1351881064875	1.8994	3.1699	200000	500	50
1351881065483	2.1210	3.0233	200000	500	50
1351881066046	1.5344	3.4490	200000	500	50
1351881066636	1.4394	3.2751	200000	500	50
1351881067344	2.1377	3.4504	200000	500	50
1351881067918	2.2278	3.1701	200000	500	50
1351881068521	2.0044	3.1818	200000	500	50
1351881069086	1.3777	3.2779	200000	500	50
1351881069666	1.2731	3.1778	200000	500	50
1351881070265	1.7682	3.4488	200000	500	50
1351881070826	2.2158	3.6276	200000	500	50
1351881071408	1.5108	3.1751	200000	500	50
1351881072032	2.0768	2.9377	200000	500	50
1351881072658	1.9543	2.9499	200000	500	50
1351881073354	2.0650	1.5039	200000	500	50
1351881073946	2.1972	2.7402	200000	500	50
1351881074554	2.0431	3.4501	200000	500	50
1351881075183	2.2270	2.9373	200000	500	50
1351881075771	1.9773	3.1749	200000	500	50
1351881076338	1.4031	3.4475	200000	500	50
1351881076877	2.2195	3.4459	200000	500	50
1351881077493	1.4198	2.9445	200000	500	50
1351881078065	2.2128	3.2747	200000	500	50
1351881078645	1.4028	3.6431	200000	500	50
1351881079292	2.0118	4.0043	200000	500	50
1351881079847	2.0527	3.1775	200000	500	50
1351881080417	2.2900	3.1781	200000	500	50
1351881081075	1.1381	3.4429	200000	500	50
1351881081707	2.0349	3.0323	200000	500	50
1351881082319	2.1143	2.7438	200000	500	50
1351881082957	2.0514	2.9322	200000	500	50
1351881083552	2.1412	2.9358	200000	500	50
1351881084186	1.1584	3.1744	200000	500	50
1351881084788	2.0230	3.1773	200000	500	50
1351881085407	1.4685	2.9421	200000	500	50
1351881085957	2.1157	3.0786	200000	500	50
1351881086540	1.4557	2.9403	200000	500	50
1351881087112	2.2414	3.2690	200000	500	50
1351881087686	2.2391	2.8145	200000	500	50
1351881088293	1.4639	3.1730	200000	500	50
1351881088881	2.1913	3.1797	200000	500	50
1351881089498	1.9038	3.6305	200000	500	50
1351881090146	2.0788	3.2931	200000	500	50
1351881090745	1.4113	3.1748	200000	500	50
1351881091329	1.5515	3.1777	200000	500	50
1351881091905	1.5052	3.6412	200000	500	50
1351881092484	1.8418	3.4414	200000	500	50
1351881093087	1.2582	3.6426	200000	500	50
1351881093631	2.0709	3.3315	200000	500	50
1351881094204	2.0527	3.1746	200000	500	50
1351881094774	2.1419	3.2710	200000	500	50
1351881095405	1.9737	3.1700	200000	500	50
1351881095965	2.2554	3.1872	200000	500	50
1351881096592	1.4281	3.1662	200000	500	50
1351881097202	1.4590	3.0305	200000	500	50
1351881097813	1.9905	3.2877	200000	500	50
1351881098402	2.2263	3.4485	200000	500	50
1351881098954	1.4615	3.6323	200000	500	50
1351881099527	1.3874	3.2765	200000	500	50
1351881100112	2.3349	2.8141	200000	500	50
1351881100677	1.5903	3.6286	200000	500	50
1351881101241	2.0920	3.5616	200000	500	50
1351881101811	2.0807	3.2834	200000	500	50
1351881102350	1.4649	3.3072	200000	500	50
1351881102936	1.4688	3.1844	200000	500	50
1351881103489	2.0669	3.5144	200000	500	50
1351881104078	1.4541	3.2757	200000	500	50
1351881104675	1.5384	2.9379	200000	500	50
1351881105350	1.8977	2.9400	200000	500	50
1351881105978	1.3171	2.9000	200000	500	50
1351881106567	2.1109	2.8543	200000	500	50
1351881107204	1.5192	3.1793	200000	500	50
1351881107767	2.2821	3.1712	200000	500	50
1351881108309	2.2884	3.4506	200000	500	50
1351881108844	2.2671	3.6403	200000	500	50
