Time	UpLink(kbps)	Downlink(kbps)	Payload(Bytes)	SampleTime(ms)	DurationTime(ms)	UploadData(MB)	DownloadData(MB)	Network_Type	LTE_SS	LTE_RSRP(W)	LTE_RSRQ	LTE_SNR(dB)
1354136981923	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	34
1354137001969	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	34
1354137022012	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	34
1354137042056	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	11	34
1354137062102	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	12	28
1354137082153	0.00	0.00	1357	1600	16000	0.000	0.000	13	17	-107	12	28
1354137137635	181.29	5261.89	1357	1600	16000	0.452	14.788	13	18	-107	14	10
1354137186592	154.20	6524.81	1357	1600	16000	0.450	17.870	13	18	-107	14	10
1354137236493	138.55	4420.00	1357	1600	16000	0.452	12.675	13	17	-107	12	24
1354137284926	110.40	6530.84	1357	1600	16000	0.335	17.030	13	17	-107	12	28
1354137327652	167.12	5870.35	1357	1600	16000	0.347	12.304	13	17	-107	11	28
1354137372840	182.62	6487.00	1357	1600	16000	0.448	15.435	13	17	-107	11	32
1354137419788	146.04	4040.47	1357	1600	16000	0.391	13.030	13	17	-107	11	28
1354137466886	182.07	6742.79	1357	1600	16000	0.516	16.459	13	17	-107	11	30
1354137507827	178.31	7019.35	1357	1600	16000	0.371	17.384	13	17	-107	12	28
1354137556464	151.98	6570.53	1357	1600	16000	0.254	17.664	13	17	-107	11	30
1354137604433	95.60	6842.62	1357	1600	16000	0.290	17.600	13	17	-107	13	28
1354137666700	129.44	5437.10	1357	1600	16000	0.396	12.946	13	18	-107	13	30
1354137712286	170.58	6474.00	1357	1600	16000	0.465	15.619	13	18	-107	13	30
1354137760860	203.42	5859.34	1357	1600	16000	0.591	12.095	13	17	-107	11	30
1354137807330	221.14	5935.45	1357	1600	16000	0.489	16.930	13	17	-107	11	30
1354137852858	288.94	6442.93	1357	1600	16000	0.752	16.229	13	17	-107	11	30
1354137895960	104.76	6392.00	1357	1600	16000	0.346	16.303	13	17	-107	13	30
1354137939684	172.66	5978.06	1357	1600	16000	0.428	15.309	13	17	-107	11	30
1354137984321	204.63	5271.41	1357	1600	16000	0.382	14.047	13	17	-107	11	30
1354138030465	171.98	6491.89	1357	1600	16000	0.490	18.078	13	17	-107	11	30
1354138085348	0.00	6212.86	1357	1600	16000	0.506	16.608	13	18	-107	13	26
